id,university_short_name,major_code,program_source_code,program_name,quota,source,source_school_id,is_active
ad37598f-86ac-5811-bdff-a7bb1decaeba,CMC,MC,MC,Truyền thông Đa phương tiện *,80,tuyensinh247,,true
cc759a9f-6409-5e18-ac1e-6285fa11fc9d,CMC,MK,MK,Digital Marketing,160,tuyensinh247,557,true
4ebd2167-d5c8-53d2-a8c0-48e5df910b0a,CMC,NS,NS,An ninh Mạng *,40,tuyensinh247,,true
9e5e01f7-474e-5a4f-b96e-f739b403a240,CMC,PR,PR,Quan hệ Công chúng *,40,tuyensinh247,,true
80fcb5cd-a43b-5277-a52a-78b84bef51c4,CMC,SE,SE,Kỹ thuật Phần mềm,80,tuyensinh247,557,true
f1cebae8-ac6f-5dc1-8f63-37e42eef3f52,DCH,7860207_B,7860207_B,Chỉ huy - Tham mưu đặc công (miền Nam),27,tuyensinh247,292,true
3d286f2d-1c71-552d-9971-7cb1c4426ea9,DCH,7860207_N,7860207_N,Chỉ huy - Tham mưu đặc công (miền Bắc),47,tuyensinh247,292,true
ab50df5c-606b-5766-82c8-d896a71de82c,DCN,7210404,7210404,Thiết kế thời trang,60,tuyensinh247,308,true
03f4afff-0b16-5a58-a5b5-a255d8b9c8b8,DCN,7220201,7220201,Ngôn ngữ Anh,200,tuyensinh247,308,true
2005ec5e-6ddc-58c3-9395-75946ffefa4a,DCN,7220204,7220204,Ngôn ngữ Trung Quốc,150,tuyensinh247,308,true
717f2023-6564-5093-9c00-ca073c673d74,DCN,7220204LK,7220204LK,Ngôn ngữ Trung Quốc (LK2+2 với ĐHKHKT Quảng Tây),30,tuyensinh247,308,true
134152c3-e574-5152-bc2b-dccbc0538b53,DCN,7220209,7220209,Ngôn ngữ Nhật,70,tuyensinh247,308,true
85f40536-fbf2-55d3-ad6e-6ae16d66db83,DCN,7220210,7220210,Ngôn ngữ Hàn Quốc,70,tuyensinh247,308,true
04e26fe3-81e9-54cf-96d6-3485afd0a946,DCN,7229020,7229020,Ngôn ngữ học,50,tuyensinh247,308,true
9fa47085-dc22-5d30-acef-a4384cb4737a,DCN,7310104,7310104,Kinh tế đầu tư,60,tuyensinh247,308,true
926373fc-9de1-5280-9a4a-1233232cfeea,DCN,7310612,7310612,Trung Quốc học,50,tuyensinh247,308,true
8ab50392-9fdf-54d0-b914-1de6f0231f69,DCN,7340101,7340101,Quản trị kinh doanh,260,tuyensinh247,308,true
a386bc74-f236-5426-a671-5af8678007d4,DCN,73401012,73401012,Phân tích dữ liệu kinh doanh,120,tuyensinh247,308,true
b298d9d3-40a7-5f11-818c-c516e78f345b,DCN,7340101TA,7340101TA,Quản trị kinh doanh (CTĐT bằng Tiếng Anh),40,tuyensinh247,,true
f8392488-53ca-592d-8e43-039f8412c1cd,DCN,7340115,7340115,Marketing,120,tuyensinh247,308,true
37027afe-806b-5db3-89fb-bcb9944ce82d,DCN,7340115TA,7340115TA,Marketing (CTĐT bằng tiếng Anh),40,tuyensinh247,,true
388cd6e1-0f0a-548e-b1e5-3652131afa90,DCN,7340201,7340201,Tài chính - Ngân hàng,180,tuyensinh247,308,true
0ff3f3df-df39-55d9-aa6f-408ef54557b6,DCN,7340201TA,7340201TA,Tài chính - Ngân hàng (CTĐT bằng Tiếng Anh),40,tuyensinh247,,true
20ab880e-18c0-5b4d-b60e-3088b3794dd6,DCN,7340301,7340301,Kế toán,460,tuyensinh247,308,true
e6b37dc0-511b-5c9b-830f-5206d2a9529e,DCN,7340301TA,7340301TA,Kế toán (CTĐT bằng tiếng Anh),40,tuyensinh247,308,true
bc24dcf2-df75-52e9-85ce-372d666345e8,DCN,7340302,7340302,Kiểm toán,120,tuyensinh247,308,true
018eb627-c517-56d1-ad8b-f32573c56f43,DCN,7340404,7340404,Quản trị nhân lực,120,tuyensinh247,308,true
a941cdf5-75ae-5559-8a63-ead16567f07a,DCN,7340406,7340406,Quản trị văn phòng,120,tuyensinh247,308,true
eb8fd08b-84fd-52ff-9ebf-875d72bd6ca4,DCN,7420201,7420201,Công nghệ sinh học,50,tuyensinh247,,true
925e8505-d38a-5800-a2b9-13015852f51f,DCN,7480101,7480101,Khoa học máy tính,120,tuyensinh247,308,true
400a9231-6650-548d-8b96-60f82ccf18c0,DCN,74801012,74801012,Trí tuệ nhân tạo,60,tuyensinh247,,true
672c0851-5bc1-5998-be54-ea60e1fe3cd9,DCN,7480101TA,7480101TA,Khoa học máy tính (CTĐT bằng tiếng Anh),40,tuyensinh247,308,true
5e18cafc-2d78-5d61-a828-5ffa16f926e6,DCN,7480102,7480102,Mạng máy tính và truyền thông dữ liệu,70,tuyensinh247,308,true
d2839d02-bf54-5f9a-92b6-6c78f7d44682,DCN,7480103,7480103,Kỹ thuật phần mềm,240,tuyensinh247,308,true
5cc60e07-8ec3-5032-82a2-1b8b8b533a0d,DCN,7480104,7480104,Hệ thống thông tin,120,tuyensinh247,308,true
32a12951-5a35-5af4-9a10-07f80bf8eea9,DCN,7480108,7480108,Công nghệ kỹ thuật máy tính,120,tuyensinh247,308,true
99d2b3da-d89e-55e8-8853-9ed7e911157e,DCN,74801081,74801081,Vi mạch bán dẫn,100,tuyensinh247,,true
9a5141ee-7630-5097-a124-744faced1957,DCN,7480201,7480201,Công nghệ thông tin,300,tuyensinh247,308,true
1b66392f-e40e-5a13-9e28-5bac7d2578fe,DCN,74802012,74802012,Công nghệ đa phương tiện,60,tuyensinh247,308,true
fb4dff8b-a636-51c5-8dda-0dbe92c23a40,DCN,7480201TA,7480201TA,Công nghệ thông tin (CTĐT bằng tiếng Anh),40,tuyensinh247,,true
f57725a4-7330-5594-b424-c4e9ea4a03e2,DCN,7480202,7480202,An toàn thông tin,60,tuyensinh247,,true
a35b273c-360c-5627-830f-55f41ce899dd,DCN,7510201,7510201,Công nghệ kỹ thuật cơ khí,360,tuyensinh247,308,true
18aaa143-eb1d-5443-82f6-4ae9754818c5,DCN,75102012,75102012,Công nghệ kỹ thuật khuôn mẫu,60,tuyensinh247,308,true
812143d4-11c8-5387-93f9-eb173653dd11,DCN,75102013,75102013,Thiết kế cơ khí và kiểu dáng công nghiệp,60,tuyensinh247,308,true
c32b51aa-0b71-5b1b-97fc-563008621dac,DCN,7510201TA,7510201TA,Công nghệ kỹ thuật cơ khí (CTĐT bằng tiếng Anh),40,tuyensinh247,308,true
