major_code,subject_group_code
7340302QT10,D07
7340302QT10,X06
7340302QT10,X26
7220201,X26
7310102,A00
7310102,A01
7310102,D07
7310102,X06
7310102,X26
7310104,A00
7310104,A01
7310104,D01
7310104,D07
7310104,X06
7310104,X26
7310104QT12,A01
7310104QT12,D01
7310104QT12,D07
7310104QT12,X26
7310108,A00
7310108,A01
7310108,D01
7310108,D07
7310108,X06
7310108,X26
7340101QT03,A01
7340101QT03,D01
7340101QT03,D07
7340101QT03,X26
7340115,D07
7340116,A00
7340116,A01
7340116,D01
7340116,D07
7340116,X06
7340116,X26
7340116QT09,A01
7340116QT09,D01
7340116QT09,D07
7340116QT09,X26
7340120QT15,A01
7340120QT15,D01
7340120QT15,D07
7340120QT15,X26
7340204,A00
7340204,A01
7340204,D01
7340204,D07
7340204,X06
7340204,X26
7340302,A00
7340302,A01
7340302,D01
7340302,D07
7340302,X06
7340302,X26
7340403,A00
7340403,A01
7340403,D07
7340403,X06
7340403,X26
7340405,X06
7340405,X26
7380101,D07
7380101,X06
7380101,X26
7460108,A00
7460108,A01
7460108,D01
7460108,D07
7460108,X06
7460108,X26
7720101,D07
7720110,B00
7720201,A00
7720201,D07
7140114,A00
7140114,A01
7140114,C00
7140114,D01
7140114,D02
7310101,D10
7310403,A00
7310403,B00
7310403,C00
7310403,D01
7220201,A00
7140101,A00
7140101,B00
7140101,C00
7140101,D01
7340406,A00
7340406,A01
7340406,C00
7340406,D01
7480201,A02
7310202,C00
7310202,D10
7310202,X21
7310202,X74
7310205,D10
7310205,X21
7310205,X74
7310401,D10
7310401,X21
7310401,X74
7320108,C00
7320108,D01
7320108,D10
7320108,X21
7320108,X74
7380101,D10
7380101,X74
7760101,D10
7760101,X21
7760101,X74
7760102,C00
7760102,D01
7760102,D10
7760102,X21
7760102,X74
7310101,A04
7310101,X21
7480201,A04
7480201,D10
7480201,X21
7380101,C01
GD1,A00
GD1,A01
GD1,B00
GD1,D01
GD2,C00
GD2,C03
GD2,C04
GD2,D01
GD2,D14
GD2,D15
GD2,Q00
GD3,A00
GD3,A01
GD3,B00
GD3,C00
GD3,C14
GD3,D01
GD3,Q00
GD4,A00
GD4,B00
GD4,C00
GD4,C14
GD4,D01
GD4,Q00
GD5,A00
GD5,B00
GD5,C00
GD5,C14
GD5,D01
GD5,Q00
GD1,B03
GD1,C01
GD1,C02
GD1,Q00
CN1,A00
CN1,A01
CN1,X06
CN10,A00
CN10,A01
CN10,A02
CN10,X06
CN11,A00
CN11,A01
CN11,X06
CN2,A00
CN2,A01
CN2,X06
CN3,A00
CN3,A01
CN3,X06
CN4,A00
CN4,A01
CN4,X06
CN5,A00
CN5,A01
CN5,X06
CN6,A00
CN6,A01
CN6,X06
CN7,A00
CN7,A01
CN7,X06
CN8,A00
CN8,A01
CN8,X06
CN9,A00
CN9,A01
CN9,X06
CN12,A00
CN12,A01
CN12,X06
CN13,A00
CN13,A01
CN13,X06
CN14,A00
CN14,A01
CN14,X06
CN15,A00
CN15,A01
CN15,X06
CN16,A00
CN16,A01
CN16,X06
CN17,A00
CN17,A01
CN17,X06
CN18,A00
CN18,A01
CN18,X06
CN19,A00
CN19,A01
CN19,X06
CN20,A00
CN20,A01
CN20,X06
CN21,A00
CN21,A01
CN21,A02
CN21,X06
QHT01,A00
