university_short_name,program_source_code,major_name,quota,admission_methods,subject_groups,is_verified
HCP,7310105,Kinh tế phát triển,150,DGTD,Q00,true
HCP,7310106,Kinh tế quốc tế,200,DGNL_HN,,true
HCP,7310106,Kinh tế quốc tế,200,THPT,"A00,A01,D01,D07",true
HCP,7310106,Kinh tế quốc tế,200,HBA,"A00,A01,D01,D07",true
HCP,7310106,Kinh tế quốc tế,200,DGTD,"A00,A01,D01,D07",true
HCP,7310106,Kinh tế quốc tế,200,DGTD,K00,true
HCP,7310106,Kinh tế quốc tế,200,DGTD,Q00,true
HCP,7310109,Kinh tế và kinh doanh số,120,DGNL_HN,,true
HCP,7310109,Kinh tế và kinh doanh số,120,THPT,"A00,A01,D01,D07",true
HCP,7310109,Kinh tế và kinh doanh số,120,HBA,"A00,A01,D01,D07",true
HCP,7310109,Kinh tế và kinh doanh số,120,DGTD,"A00,A01,D01,D07",true
HCP,7310109,Kinh tế và kinh doanh số,120,DGTD,K00,true
HCP,7310109,Kinh tế và kinh doanh số,120,DGTD,Q00,true
HCP,7310205,Quản lý công,100,DGNL_HN,,true
HCP,7310205,Quản lý công,100,THPT,"C00,C14,D01,X25",true
HCP,7310205,Quản lý công,100,HBA,"C00,C14,D01,X25",true
HCP,7310205,Quản lý công,100,DGTD,"C00,C14,D01,X25",true
HCP,7310205,Quản lý công,100,DGTD,K00,true
HCP,7310205,Quản lý công,100,DGTD,Q00,true
HCP,7340101,Quản trị kinh doanh,150,DGNL_HN,,true
HCP,7340101,Quản trị kinh doanh,150,THPT,"A01,D01,D07,X25",true
HCP,7340101,Quản trị kinh doanh,150,HBA,"A01,D01,D07,X25",true
HCP,7340101,Quản trị kinh doanh,150,DGTD,"A01,D01,D07,X25",true
HCP,7340101,Quản trị kinh doanh,150,DGTD,K00,true
HCP,7340101,Quản trị kinh doanh,150,DGTD,Q00,true
HCP,7340115,Marketing,150,DGNL_HN,,true
HCP,7340115,Marketing,150,THPT,"A01,D01,D07,X25",true
HCP,7340115,Marketing,150,HBA,"A01,D01,D07,X25",true
HCP,7340115,Marketing,150,DGTD,"A01,D01,D07,X25",true
HCP,7340115,Marketing,150,DGTD,K00,true
HCP,7340115,Marketing,150,DGTD,Q00,true
HCP,7340201,Tài chính - Ngân hàng,320,DGNL_HN,,true
HCP,7340201,Tài chính - Ngân hàng,320,THPT,"A01,D01,D07,X25",true
HCP,7340201,Tài chính - Ngân hàng,320,HBA,"A01,D01,D07,X25",true
HCP,7340201,Tài chính - Ngân hàng,320,DGTD,"A01,D01,D07,X25",true
HCP,7340201,Tài chính - Ngân hàng,320,DGTD,K00,true
HCP,7340201,Tài chính - Ngân hàng,320,DGTD,Q00,true
HCP,7340301,Kế toán,150,DGNL_HN,,true
HCP,7340301,Kế toán,150,THPT,"A00,A01,D01,D07",true
HCP,7340301,Kế toán,150,HBA,"A00,A01,D01,D07",true
HCP,7340301,Kế toán,150,DGTD,"A00,A01,D01,D07",true
HCP,7340301,Kế toán,150,DGTD,K00,true
HCP,7340301,Kế toán,150,DGTD,Q00,true
HCP,7340302,Kiểm toán,100,DGNL_HN,,true
HCP,7340302,Kiểm toán,100,THPT,"A00,A01,D01,D07",true
HCP,7340302,Kiểm toán,100,HBA,"A00,A01,D01,D07",true
HCP,7340302,Kiểm toán,100,DGTD,"A00,A01,D01,D07",true
HCP,7340302,Kiểm toán,100,DGTD,K00,true
HCP,7340302,Kiểm toán,100,DGTD,Q00,true
HCP,7380107,Luật Kinh tế,200,DGNL_HN,,true
HCP,7380107,Luật Kinh tế,200,THPT,"A01,C00,D01,X25",true
HCP,7380107,Luật Kinh tế,200,HBA,"A01,C00,D01,X25",true
HCP,7380107,Luật Kinh tế,200,DGTD,"A01,C00,D01,X25",true
HCP,7380107,Luật Kinh tế,200,DGTD,K00,true
HCP,7380107,Luật Kinh tế,200,DGTD,Q00,true
NQH,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),,DGTD,,true
NQH,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),,DGNL_HN,,true
NQH,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),,THPT,D01,true
NQH,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),,DGTD,Q00,true
NQH,7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),,,,true
NQH,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),,DGTD,,true
NQH,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),,DGNL_HN,,true
NQH,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),,THPT,D01,true
NQH,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),,DGTD,Q00,true
NQH,7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),,,,true
NQH,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),,DGTD,,true
NQH,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),,DGNL_HN,,true
NQH,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),,THPT,"D01,D02",true
NQH,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),,DGTD,Q00,true
NQH,7220202_Nam,Ngôn ngữ Nga (Thí sinh Nam),,,,true
NQH,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),,DGTD,,true
NQH,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),,DGNL_HN,,true
NQH,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),,THPT,"D01,D02",true
NQH,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),,DGTD,Q00,true
NQH,7220202_Nu,Ngôn ngữ Nga (Thí sinh Nữ),,,,true
NQH,7860231_Nam_B,"Trinh sát Kỹ thuật (Thí sinh Nam, phía Bắc)",,DGTD,,true
NQH,7860231_Nam_B,"Trinh sát Kỹ thuật (Thí sinh Nam, phía Bắc)",,DGNL_HN,,true
NQH,7860231_Nam_B,"Trinh sát Kỹ thuật (Thí sinh Nam, phía Bắc)",,THPT,"A00,A01",true
NQH,7860231_Nam_B,"Trinh sát Kỹ thuật (Thí sinh Nam, phía Bắc)",,DGTD,Q00,true
