university_program_id,subject_group_code
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,D78
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,R26
28ca1403-e5df-5eeb-98a1-73e86ca746e9,D01
28ca1403-e5df-5eeb-98a1-73e86ca746e9,R24
28ca1403-e5df-5eeb-98a1-73e86ca746e9,D72
28ca1403-e5df-5eeb-98a1-73e86ca746e9,R25
28ca1403-e5df-5eeb-98a1-73e86ca746e9,D78
28ca1403-e5df-5eeb-98a1-73e86ca746e9,R26
e71b60ac-4a27-5381-b342-1fbd2ce5a0cc,A16
e71b60ac-4a27-5381-b342-1fbd2ce5a0cc,C15
e71b60ac-4a27-5381-b342-1fbd2ce5a0cc,D01
e71b60ac-4a27-5381-b342-1fbd2ce5a0cc,R22
cce686c1-1024-50e9-8787-1c7b21639aaf,A16
cce686c1-1024-50e9-8787-1c7b21639aaf,C15
cce686c1-1024-50e9-8787-1c7b21639aaf,D01
cce686c1-1024-50e9-8787-1c7b21639aaf,R22
2eec2a74-982c-572d-9131-928d55160d1f,A16
2eec2a74-982c-572d-9131-928d55160d1f,C15
2eec2a74-982c-572d-9131-928d55160d1f,D01
2eec2a74-982c-572d-9131-928d55160d1f,R22
e2fca70e-af72-5c64-82b9-e39fe55fce6f,D01
e2fca70e-af72-5c64-82b9-e39fe55fce6f,R22
e2fca70e-af72-5c64-82b9-e39fe55fce6f,A16
e2fca70e-af72-5c64-82b9-e39fe55fce6f,C15
878808c2-9948-5cba-86bb-b25779ca17df,D01
878808c2-9948-5cba-86bb-b25779ca17df,R22
878808c2-9948-5cba-86bb-b25779ca17df,A16
878808c2-9948-5cba-86bb-b25779ca17df,C15
a8719837-b814-5bf8-a8cf-9379821be2ee,D01
a8719837-b814-5bf8-a8cf-9379821be2ee,R22
a8719837-b814-5bf8-a8cf-9379821be2ee,A16
a8719837-b814-5bf8-a8cf-9379821be2ee,C15
2516bd17-dfa2-5363-857f-39731270e9e8,D01
2516bd17-dfa2-5363-857f-39731270e9e8,R22
2516bd17-dfa2-5363-857f-39731270e9e8,A16
2516bd17-dfa2-5363-857f-39731270e9e8,C15
cdcf3692-075c-5c9a-b015-ccfd4fcfe405,A16
cdcf3692-075c-5c9a-b015-ccfd4fcfe405,C15
cdcf3692-075c-5c9a-b015-ccfd4fcfe405,D01
cdcf3692-075c-5c9a-b015-ccfd4fcfe405,R22
a860aeab-61c3-5761-a246-04a581910962,A16
a860aeab-61c3-5761-a246-04a581910962,C15
a860aeab-61c3-5761-a246-04a581910962,D01
a860aeab-61c3-5761-a246-04a581910962,R22
a960bd9d-0599-5219-8505-6d6500ed7ce1,A16
a960bd9d-0599-5219-8505-6d6500ed7ce1,C15
a960bd9d-0599-5219-8505-6d6500ed7ce1,D01
a960bd9d-0599-5219-8505-6d6500ed7ce1,R22
5c8e2e53-b22d-506c-a913-8d220f5484b3,A16
5c8e2e53-b22d-506c-a913-8d220f5484b3,C15
5c8e2e53-b22d-506c-a913-8d220f5484b3,D01
5c8e2e53-b22d-506c-a913-8d220f5484b3,R22
c20f04e3-316c-5191-9b75-169303c263d1,A16
c20f04e3-316c-5191-9b75-169303c263d1,C15
c20f04e3-316c-5191-9b75-169303c263d1,D01
c20f04e3-316c-5191-9b75-169303c263d1,R22
d4e15656-3c94-500a-b2df-8155b252d70d,A16
d4e15656-3c94-500a-b2df-8155b252d70d,C15
d4e15656-3c94-500a-b2df-8155b252d70d,D01
d4e15656-3c94-500a-b2df-8155b252d70d,R22
675809ad-b528-5910-89d8-b5dbefc360c9,A16
675809ad-b528-5910-89d8-b5dbefc360c9,C15
675809ad-b528-5910-89d8-b5dbefc360c9,D01
675809ad-b528-5910-89d8-b5dbefc360c9,R22
e69ba208-de99-5b74-b5fd-4d85b9d675bf,A16
e69ba208-de99-5b74-b5fd-4d85b9d675bf,C15
e69ba208-de99-5b74-b5fd-4d85b9d675bf,D01
e69ba208-de99-5b74-b5fd-4d85b9d675bf,R22
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,D01
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,R22
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,D72
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,R25
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,D78
9d8afb03-8d1f-5f3f-80b9-d65f86ae670f,R26
e708c87d-0efd-595a-9952-25933f58400a,D01
e708c87d-0efd-595a-9952-25933f58400a,R22
e708c87d-0efd-595a-9952-25933f58400a,D72
e708c87d-0efd-595a-9952-25933f58400a,R25
e708c87d-0efd-595a-9952-25933f58400a,D78
e708c87d-0efd-595a-9952-25933f58400a,R26
e3ee474e-c2ab-53cd-8d68-588df6eeca62,D01
e3ee474e-c2ab-53cd-8d68-588df6eeca62,R22
e3ee474e-c2ab-53cd-8d68-588df6eeca62,D72
e3ee474e-c2ab-53cd-8d68-588df6eeca62,R25
e3ee474e-c2ab-53cd-8d68-588df6eeca62,D78
e3ee474e-c2ab-53cd-8d68-588df6eeca62,R26
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,D01
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,R22
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,D72
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,R25
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,D78
ec80d909-b08e-5cf7-8116-ca34b2da6d4c,R26
5bb863a9-3247-59a2-8201-e2095defc226,D01
5bb863a9-3247-59a2-8201-e2095defc226,D72
5bb863a9-3247-59a2-8201-e2095defc226,D78
5bb863a9-3247-59a2-8201-e2095defc226,R22
5bb863a9-3247-59a2-8201-e2095defc226,R25
5bb863a9-3247-59a2-8201-e2095defc226,R26
330f9bf3-c9c8-5275-a994-010af504753f,D01
330f9bf3-c9c8-5275-a994-010af504753f,R22
330f9bf3-c9c8-5275-a994-010af504753f,D72
330f9bf3-c9c8-5275-a994-010af504753f,R25
330f9bf3-c9c8-5275-a994-010af504753f,D78
330f9bf3-c9c8-5275-a994-010af504753f,R26
4d60df31-4f64-5661-a88b-fd521c67ebc7,D01
4d60df31-4f64-5661-a88b-fd521c67ebc7,R22
4d60df31-4f64-5661-a88b-fd521c67ebc7,D72
4d60df31-4f64-5661-a88b-fd521c67ebc7,R25
4d60df31-4f64-5661-a88b-fd521c67ebc7,D78
4d60df31-4f64-5661-a88b-fd521c67ebc7,R26
e3adfb59-65c9-5bc5-91d5-9367840e526b,D01
e3adfb59-65c9-5bc5-91d5-9367840e526b,R22
e3adfb59-65c9-5bc5-91d5-9367840e526b,D72
