id,university_short_name,major_code,program_source_code,program_name,source,source_school_id,is_active
39a2b6d3-4529-5afb-86a2-66ab0b695e63,BKA,ME-E1,ME-E1,Kỹ thuật Cơ điện tử (CT tiên tiến),tuyensinh247,302,true
9827e2e7-df5a-579c-a02a-1b1acc89055a,BKA,ME-E1x,ME-E1x,Kỹ thuật Cơ điện tử (CT tiên tiến),tuyensinh247,302,true
05eb0044-9615-55f4-ab60-2f9dd98efedc,BKA,ME-E1y,ME-E1y,Kỹ thuật Cơ điện tử (CT tiên tiến),tuyensinh247,302,true
f69d8c21-8919-501b-ab1b-10abccb33adb,BKA,ME-GU,ME-GU,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),tuyensinh247,302,true
a1f58559-c479-509b-b48d-7d41c7843bac,BKA,ME-Gux,ME-Gux,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),tuyensinh247,302,true
accc04a1-9a6e-5cf4-92b1-2ad7a4f34ca2,BKA,ME-Guy,ME-Guy,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),tuyensinh247,302,true
1301195c-d702-5223-9abf-5aeb4abdac5e,BKA,ME-LUH,ME-LUH,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức),tuyensinh247,302,true
034783d5-01b3-511a-bef4-68f0e44e17f1,BKA,ME-LUHx,ME-LUHx,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (Đức),tuyensinh247,302,true
d18da9e5-b5bf-5a89-893a-19b97f5d64fe,BKA,ME-LUHy,ME-LUHy,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (Đức),tuyensinh247,302,true
d846f8fd-17e0-5575-902e-f473fdefb9b7,BKA,ME-NUT,ME-NUT,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),tuyensinh247,302,true
287274fc-39c8-5a64-b726-cc0ab91afd4a,BKA,ME-NUTx,ME-NUTx,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),tuyensinh247,302,true
10a17ef1-fe80-5f76-a654-bd700714843e,BKA,ME-NUTy,ME-NUTy,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),tuyensinh247,302,true
30ae3985-f5bf-5bb8-88f5-8839359338b4,BKA,ME1,ME1,Kỹ thuật Cơ điện tử,tuyensinh247,302,true
9a101642-d650-58e0-b604-e9243cd37f45,BKA,ME1x,ME1x,Kỹ thuật Cơ điện tử,tuyensinh247,302,true
d97e6ea2-2173-5161-a461-932ddb5c01a4,BKA,ME1y,ME1y,Kỹ thuật Cơ điện tử,tuyensinh247,302,true
d87ac3c3-196b-59d8-bb43-b9702e92150f,BKA,ME2,ME2,Kỹ thuật Cơ khí,tuyensinh247,302,true
c9a59150-e038-5672-a2dd-38948652dbf8,BKA,ME2x,ME2x,Kỹ thuật Cơ khí,tuyensinh247,302,true
d87f3457-1d92-5cfd-a0bc-d0e517ac87c3,BKA,ME2y,ME2y,Kỹ thuật Cơ khí,tuyensinh247,302,true
64c10856-1ba3-524c-b626-80cbe8e45b42,BKA,MI1,MI1,Toán - Tin,tuyensinh247,302,true
6ff45063-dd23-5c1b-bba8-638247d495f8,BKA,MI1x,MI1x,Toán - Tin,tuyensinh247,302,true
3c074b14-9ddb-50bf-8aa6-486524b9f809,BKA,MI1y,MI1y,Toán - Tin,tuyensinh247,302,true
7476a86b-0441-5f20-bcac-f9517aff5bb7,BKA,MI2,MI2,Hệ thống thông tin quản lý,tuyensinh247,302,true
74fafd3c-8e5b-5565-b388-71d07ffd7889,BKA,MI2x,MI2x,Hệ thống thông tin quản lý,tuyensinh247,302,true
701f3478-f576-5380-b581-190506f33df6,BKA,MI2y,MI2y,Hệ thống thông tin quản lý,tuyensinh247,302,true
39369f61-9978-5fcd-8af6-42dafe41457c,BKA,MS-E3,MS-E3,Khoa học và Kỹ thuật Vật liệu (CT tiên tiến),tuyensinh247,302,true
7af61b29-c607-5e30-96d6-3e0d00120b7d,BKA,MS-E3x,MS-E3x,KHKT Vật liệu (CT tiên tiến),tuyensinh247,302,true
7cc61526-4ed2-58b1-98c2-cb759bbe900a,BKA,MS-E3y,MS-E3y,KHKT Vật liệu (CT tiên tiến),tuyensinh247,302,true
cfa9b495-459d-554c-bd13-a000b155a470,BKA,MS1,MS1,Kỹ thuật Vật liệu,tuyensinh247,302,true
a9f926ff-785a-5cdb-9a16-2a57e8539ef2,BKA,MS1x,MS1x,Kỹ thuật Vật liệu,tuyensinh247,302,true
fa084775-9026-541f-8987-6d44749ddcad,BKA,MS1y,MS1y,Kỹ thuật Vật liệu,tuyensinh247,302,true
be63440a-484f-5e6e-8b80-0aa7178f273e,BKA,MS2,MS2,Kỹ thuật Vi điện tử và Công nghệ nano,tuyensinh247,302,true
6e55a0f6-5547-5eeb-9917-5da277f5e082,BKA,MS3,MS3,Công nghệ vật liệu Polyme và Compozit,tuyensinh247,302,true
4ae06dd5-3be7-59ee-a0cb-8e791379668a,BKA,MS5,MS5,Kỹ thuật in,tuyensinh247,302,true
5ba166f4-f3b7-5971-93b1-46821d73a9f4,BKA,PH1,PH1,Vật lý Kỹ thuật,tuyensinh247,302,true
