admission_option_id,subject_group_code
db323090-35d5-5258-8eec-92dd5c93279e,D01
db323090-35d5-5258-8eec-92dd5c93279e,D09
db323090-35d5-5258-8eec-92dd5c93279e,X25
dbf2c1a2-55ef-59b2-95ce-55ce0f9bfe1d,D01
dbf2c1a2-55ef-59b2-95ce-55ce0f9bfe1d,D14
718206c8-84ed-5d0d-a9d1-f1355ea31286,D01
718206c8-84ed-5d0d-a9d1-f1355ea31286,D14
f69d001c-591d-5481-9a06-6a9c0c7fc7b3,A00
f69d001c-591d-5481-9a06-6a9c0c7fc7b3,A01
f69d001c-591d-5481-9a06-6a9c0c7fc7b3,K00
f69d001c-591d-5481-9a06-6a9c0c7fc7b3,X06
f69d001c-591d-5481-9a06-6a9c0c7fc7b3,X07
1f76c14d-1257-5d29-b237-cff7c4036ec2,A00
1f76c14d-1257-5d29-b237-cff7c4036ec2,A01
1f76c14d-1257-5d29-b237-cff7c4036ec2,X06
1f76c14d-1257-5d29-b237-cff7c4036ec2,X07
385c8acd-569a-5758-8071-4f8c35e027c8,Q00
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,A00
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,A01
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,B03
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,C00
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,C01
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,C02
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,C03
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,C04
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,D01
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,X01
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,X02
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,X03
0dfefcdb-7efc-5cd2-aafc-ec4acd642172,X04
35267c9d-0685-501e-9e75-e9dd7442728d,A00
35267c9d-0685-501e-9e75-e9dd7442728d,A01
35267c9d-0685-501e-9e75-e9dd7442728d,D01
35267c9d-0685-501e-9e75-e9dd7442728d,D07
d119669c-1811-5fda-aced-8a90f5a9440d,A00
d119669c-1811-5fda-aced-8a90f5a9440d,A01
d119669c-1811-5fda-aced-8a90f5a9440d,D01
d119669c-1811-5fda-aced-8a90f5a9440d,D07
